model,scenario_id,intent,tone,fact_recall_score,facts_found,total_facts,tone_alignment_score,tone_raw_score,tone_reason,clarity_conciseness_score,word_count,clarity_llm_raw,clarity_reason,overall_score
Model_A_GPT4o,1,Follow up after a job interview,"Professional, grateful, confident",1.0,5,5,1.0,10,"The email perfectly matches the professional, grateful, and confident tone requested.",1.0,144,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",1.0
Model_A_GPT4o,2,Request a refund for a defective product,"Firm, polite, factual",1.0,5,5,1.0,10,"The email maintains a firm, polite, and factual tone throughout, with clear and concise language.",1.0,127,10,"The email is flawlessly clear, with well-structured sentences and logical flow from opening to close.",1.0
Model_A_GPT4o,3,Invite a keynote speaker to a conference,"Formal, flattering, persuasive",1.0,6,6,1.0,10,"The email perfectly matches the formal, flattering, and persuasive tone requested.",1.0,229,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",1.0
Model_A_GPT4o,4,Notify a team about an urgent system outage,"Urgent, clear, reassuring",0.8333,5,6,0.9,9,"The email is urgent and clear, with a reassuring tone maintained throughout, except for a slightly less reassuring closing.",1.0,158,10,"The email is flawlessly clear, well-structured, and free of grammatical errors.",0.9111
Model_A_GPT4o,5,Negotiate a freelance contract rate increase,"Confident, respectful, data-driven",1.0,6,6,0.9,9,"The email is confident, respectful, and uses data to justify the rate adjustment, with only minor deviations.",1.0,170,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_A_GPT4o,6,Apologize for missing an important deadline,"Sincere, accountable, professional",0.8,4,5,1.0,10,"The email perfectly matches the requested tone with sincere apology, accountability, and professionalism throughout.",1.0,123,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9333
Model_A_GPT4o,7,Pitch a business partnership,"Enthusiastic, professional, value-focused",1.0,5,5,0.9,9,"The email is enthusiastic, professional, and focuses on the value of the partnership, with only minor deviations.",1.0,186,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_A_GPT4o,8,Request a letter of recommendation,"Warm, respectful, considerate",0.8333,5,6,1.0,10,"The email is warm, respectful, and considerate throughout, with thoughtful word choice and a polite tone.",1.0,172,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9444
Model_A_GPT4o,9,Announce a company policy change,"Authoritative, empathetic, clear",1.0,6,6,0.9,9,"The email is authoritative, empathetic, and clear, with only minor deviations in tone.",1.0,192,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_A_GPT4o,10,Thank a mentor after receiving career guidance,"Personal, warm, deeply grateful",0.8,4,5,1.0,10,"The email perfectly captures a personal, warm, and deeply grateful tone throughout.",1.0,154,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9333
Model_B_GPT35,1,Follow up after a job interview,"Professional, grateful, confident",1.0,5,5,1.0,10,"The email perfectly matches the professional, grateful, and confident tone requested.",1.0,138,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",1.0
Model_B_GPT35,2,Request a refund for a defective product,"Firm, polite, factual",1.0,5,5,1.0,10,"The email maintains a firm, polite, and factual tone throughout, clearly stating the issue and request.",1.0,128,10,"The email is clear, concise, and logically structured with no grammatical errors.",1.0
Model_B_GPT35,3,Invite a keynote speaker to a conference,"Formal, flattering, persuasive",1.0,6,6,0.9,9,"The email is formal, flattering, and persuasive with only minor deviations.",1.0,229,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_B_GPT35,4,Notify a team about an urgent system outage,"Urgent, clear, reassuring",1.0,6,6,0.9,9,"The email is urgent, clear, and reassuring with minor deviations in emotional intensity.",1.0,115,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_B_GPT35,5,Negotiate a freelance contract rate increase,"Confident, respectful, data-driven",1.0,6,6,0.9,9,"The email is confident, respectful, and uses data to justify the rate adjustment, with only minor deviations.",1.0,215,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_B_GPT35,6,Apologize for missing an important deadline,"Sincere, accountable, professional",1.0,5,5,1.0,10,"The email is perfectly sincere, accountable, and professional throughout.",1.0,158,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",1.0
Model_B_GPT35,7,Pitch a business partnership,"Enthusiastic, professional, value-focused",1.0,5,5,0.9,9,"The email is enthusiastic, professional, and focuses on the value of the partnership, with only minor deviations.",0.94,230,9,The email is very clear and well-structured with only minor issues in phrasing.,0.9467
Model_B_GPT35,8,Request a letter of recommendation,"Warm, respectful, considerate",0.8333,5,6,1.0,10,"The email is warm, respectful, and considerate throughout, with thoughtful language and appreciation for the recipient's time and support.",1.0,205,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9444
Model_B_GPT35,9,Announce a company policy change,"Authoritative, empathetic, clear",1.0,6,6,0.9,9,"The email is authoritative, empathetic, and clear, with only minor deviations in emotional depth.",1.0,155,10,"The email is clear, well-structured, and flows logically without any redundancy or awkward phrasing.",0.9667
Model_B_GPT35,10,Thank a mentor after receiving career guidance,"Personal, warm, deeply grateful",1.0,5,5,1.0,10,"The email perfectly captures a personal, warm, and deeply grateful tone throughout.",1.0,190,10,"The email is flawlessly clear, well-structured, and flows logically without any redundancy or awkward phrasing.",1.0
